episode,moves,score,high_tile
0,102,704.0,64
1,98,660.0,64
2,63,288.0,32
3,114,700.0,64
4,80,556.0,64
5,171,1432.0,128
6,165,1328.0,128
7,233,2148.0,256
8,182,1432.0,128
9,99,468.0,32
10,179,1392.0,128
11,84,500.0,64
12,130,840.0,64
13,120,704.0,64
14,115,848.0,64
15,122,884.0,64
16,129,1020.0,128
17,173,1356.0,128
18,255,2208.0,256
19,140,1072.0,128
20,211,1640.0,128
21,104,724.0,64
22,127,1028.0,128
23,98,652.0,64
24,71,444.0,64
25,146,1132.0,128
26,159,1324.0,128
27,159,1244.0,128
28,119,796.0,64
29,140,1124.0,128
30,124,1092.0,128
31,127,1020.0,128
32,153,1140.0,128
33,70,356.0,32
34,115,684.0,64
35,132,1084.0,128
36,100,612.0,64
37,93,656.0,64
38,111,724.0,64
39,102,596.0,64
40,77,364.0,32
41,142,1264.0,128
42,125,824.0,64
43,102,660.0,64
44,61,240.0,32
45,223,2208.0,256
46,68,348.0,32
47,171,1472.0,128
48,137,1212.0,128
49,86,548.0,64
50,186,1364.0,128
51,163,1200.0,128
52,91,620.0,64
53,162,1260.0,128
54,150,1240.0,128
55,138,1192.0,128
56,131,892.0,64
57,137,872.0,64
58,169,1376.0,128
59,168,1316.0,128
60,97,580.0,64
61,149,1276.0,128
62,163,1332.0,128
63,160,1328.0,128
64,59,268.0,32
65,144,1176.0,128
66,106,636.0,64
67,165,1424.0,128
68,145,1132.0,128
69,133,1172.0,128
70,130,828.0,64
71,94,608.0,64
72,87,588.0,64
73,188,1476.0,128
74,160,1412.0,128
75,75,468.0,64
76,148,1216.0,128
77,94,584.0,64
78,78,388.0,32
79,159,1320.0,128
80,184,1548.0,128
81,97,604.0,64
82,189,1448.0,128
83,85,436.0,32
84,163,1300.0,128
85,139,1188.0,128
86,127,756.0,64
87,146,1236.0,128
88,86,536.0,64
89,93,380.0,32
90,261,2340.0,256
91,94,636.0,64
92,232,2036.0,256
93,183,1516.0,128
94,190,1468.0,128
95,148,1040.0,64
96,103,712.0,64
97,95,612.0,64
98,166,1344.0,128
99,94,580.0,64
100,179,1428.0,128
101,213,1756.0,128
102,86,548.0,64
103,193,1568.0,128
104,163,1224.0,128
105,57,240.0,32
106,128,812.0,64
107,132,1012.0,128
108,111,772.0,64
109,86,572.0,64
110,186,1448.0,128
111,153,1136.0,128
112,95,616.0,64
113,145,1196.0,128
114,122,796.0,64
115,100,588.0,64
116,114,836.0,64
117,126,1092.0,128
118,199,1788.0,256
119,68,320.0,32
120,286,2632.0,256
121,130,880.0,64
122,108,616.0,64
123,117,880.0,64
124,141,1136.0,128
125,79,440.0,64
126,120,904.0,128
127,118,900.0,64
128,145,1128.0,128
129,141,944.0,64
130,163,1364.0,128
131,80,388.0,32
132,120,852.0,64
133,75,320.0,32
134,118,688.0,64
135,129,1092.0,128
136,162,1328.0,128
137,142,1188.0,128
138,173,1452.0,128
139,115,748.0,64
140,167,1348.0,128
141,151,1224.0,128
142,181,1516.0,128
143,177,1428.0,128
144,141,1108.0,128
145,65,332.0,32
146,156,1364.0,128
147,170,1132.0,128
148,126,992.0,128
149,128,1020.0,128
150,80,556.0,64
151,124,820.0,64
152,112,692.0,64
153,97,608.0,64
154,238,2004.0,128
155,147,1020.0,128
156,161,1212.0,128
157,130,912.0,64
158,112,684.0,64
159,90,580.0,64
160,132,1048.0,128
161,107,700.0,64
162,143,1160.0,128
163,116,720.0,64
164,69,332.0,32
165,108,732.0,64
166,97,624.0,64
167,66,296.0,32
168,148,1252.0,128
169,159,1300.0,128
170,182,1428.0,128
171,93,632.0,64
172,173,1336.0,128
173,102,664.0,64
174,166,1344.0,128
175,166,1324.0,128
176,184,1472.0,128
177,139,1068.0,128
