episode,moves,score,high_tile
0,353,4140.0,256
1,329,3764.0,256
2,323,3552.0,256
3,244,2612.0,128
4,403,4656.0,512
5,306,3356.0,256
6,344,4116.0,512
7,552,6748.0,512
8,550,6532.0,512
9,517,6164.0,512
10,907,11196.0,1024
11,690,8412.0,512
12,306,3564.0,256
13,288,3160.0,256
14,289,3216.0,256
15,520,6260.0,512
16,254,2840.0,256
17,444,5080.0,512
18,300,3456.0,256
19,476,5620.0,512
20,341,3892.0,256
21,716,8676.0,1024
22,551,6368.0,512
23,266,2980.0,256
24,214,2108.0,128
25,454,5280.0,512
26,666,8000.0,512
27,314,3500.0,256
28,409,4756.0,512
29,476,5684.0,512
30,917,11244.0,1024
31,501,6056.0,512
32,295,3316.0,256
33,371,4236.0,256
34,439,5184.0,512
35,341,3876.0,256
36,577,6816.0,512
37,234,2508.0,256
38,331,3836.0,256
39,396,4484.0,512
40,316,3524.0,256
41,166,1652.0,128
42,477,5560.0,512
43,319,3552.0,256
44,436,5116.0,512
45,643,7724.0,1024
46,412,4760.0,512
47,761,9204.0,1024
48,523,6192.0,512
49,936,11480.0,1024
50,320,3472.0,256
51,514,6148.0,512
52,599,7308.0,512
53,361,4072.0,256
54,545,6620.0,512
55,389,4396.0,256
56,348,3968.0,512
57,496,5904.0,512
58,211,2224.0,128
59,642,7736.0,512
60,557,6556.0,512
61,359,4080.0,256
62,375,4276.0,256
63,597,7272.0,512
64,265,2828.0,128
65,506,6192.0,512
66,603,7348.0,512
67,1035,12992.0,1024
68,322,3548.0,256
69,884,10664.0,1024
70,476,5636.0,512
71,360,4020.0,256
72,589,7116.0,512
73,574,7052.0,512
74,672,8168.0,512
75,325,3608.0,256
76,457,5540.0,256
77,317,3524.0,256
78,332,3740.0,256
79,563,6796.0,512
80,516,6304.0,512
81,337,3876.0,256
82,458,5384.0,512
83,430,4896.0,512
84,195,2068.0,256
85,293,3288.0,256
86,522,6200.0,512
87,514,6120.0,512
88,261,2840.0,256
89,512,6080.0,512
90,587,7028.0,512
91,470,5496.0,512
92,636,7692.0,512
93,581,6956.0,512
94,347,3948.0,256
95,229,2472.0,128
96,456,5324.0,512
97,905,11192.0,1024
98,352,4040.0,256
99,481,5592.0,512
100,563,6772.0,512
101,386,4488.0,512
102,526,6224.0,512
103,331,3652.0,256
104,601,7396.0,512
105,522,6204.0,512
106,528,6308.0,512
107,293,3376.0,512
108,227,2356.0,256
109,502,5864.0,512
110,627,7728.0,512
111,507,5892.0,512
112,407,4748.0,512
113,695,8688.0,512
114,290,3220.0,256
115,202,2044.0,128
116,485,5792.0,512
117,315,3476.0,256
118,1000,12516.0,1024
119,553,6696.0,512
120,523,6156.0,512
121,786,9632.0,1024
122,527,6200.0,512
123,512,6108.0,512
124,384,4388.0,512
125,523,6300.0,512
126,388,4432.0,512
127,292,3232.0,256
128,199,2132.0,256
129,574,6912.0,512
130,767,9428.0,512
131,756,9204.0,1024
132,536,6324.0,512
133,452,5336.0,512
134,583,7028.0,512
135,458,5452.0,512
136,748,9256.0,1024
137,191,1900.0,128
138,493,5876.0,512
139,626,7632.0,512
140,407,4732.0,512
141,710,8560.0,1024
142,690,8300.0,1024
143,338,3928.0,256
144,540,6596.0,512
145,523,6208.0,512
146,668,8136.0,512
147,183,1792.0,128
148,264,2924.0,256
149,666,8128.0,512
150,673,8260.0,512
151,450,5356.0,512
152,627,7680.0,512
153,321,3664.0,256
154,378,4412.0,512
155,568,6724.0,512
156,481,5652.0,512
157,518,6192.0,512
158,130,1296.0,128
159,483,5880.0,512
160,616,7464.0,512
161,418,4868.0,512
162,651,7948.0,1024
163,550,6660.0,512
164,608,7380.0,512
165,551,6584.0,512
166,507,6032.0,512
167,284,3072.0,256
168,356,4024.0,256
169,198,2004.0,128
170,216,2324.0,256
171,695,8564.0,512
172,503,5880.0,512
173,274,3032.0,256
174,480,5752.0,512
175,258,2840.0,256
176,269,2868.0,256
177,573,6900.0,512
178,856,10492.0,1024
179,279,3132.0,256
180,341,3960.0,256
181,519,6316.0,512
182,790,9568.0,1024
183,232,2468.0,128
184,440,5208.0,512
185,394,4492.0,512
186,464,5476.0,512
187,259,2796.0,256
188,177,1792.0,128
189,97,736.0,64
190,292,3140.0,256
191,786,9520.0,1024
192,323,3784.0,256
193,605,7224.0,512
194,240,2564.0,128
195,527,6332.0,512
196,671,7904.0,1024
197,404,4732.0,256
198,378,4420.0,512
199,464,5456.0,512
200,485,5848.0,512
201,585,6968.0,512
202,576,6892.0,512
203,584,7016.0,512
204,377,4424.0,512
205,339,3884.0,256
206,562,6916.0,512
207,354,3992.0,256
208,508,6204.0,512
209,427,4932.0,512
210,421,5048.0,512
211,534,6316.0,512
212,229,2652.0,256
213,201,2100.0,128
214,649,7936.0,1024
215,276,3104.0,256
216,236,2684.0,256
217,715,8820.0,512
218,617,7576.0,512
219,499,5708.0,512
220,329,3728.0,512
221,294,3256.0,256
222,1013,12444.0,1024
223,395,4556.0,512
224,679,8228.0,512
225,394,4604.0,256
226,191,1944.0,128
227,389,4336.0,256
228,349,3976.0,256
229,618,7608.0,512
230,633,7660.0,512
231,518,6172.0,512
232,679,8304.0,512
233,315,3668.0,256
234,642,7968.0,512
235,300,3408.0,256
236,188,1856.0,128
237,589,7036.0,512
238,548,6628.0,512
239,621,7484.0,512
240,560,6800.0,512
241,608,7476.0,512
242,244,2660.0,256
243,245,2592.0,256
244,578,6956.0,512
245,546,6452.0,512
246,552,6752.0,512
247,326,3712.0,256
248,537,6408.0,512
249,330,3692.0,256
250,400,4572.0,256
251,778,9344.0,1024
252,539,6572.0,512
253,855,10616.0,1024
254,594,7060.0,512
255,534,6516.0,512
256,879,10832.0,1024
257,890,11068.0,1024
258,580,6904.0,512
259,322,3676.0,256
260,326,3632.0,256
261,545,6552.0,512
262,465,5584.0,512
263,342,3868.0,512
264,581,7084.0,512
265,338,3880.0,512
266,288,3220.0,256
267,691,8228.0,1024
268,317,3700.0,256
269,338,3820.0,256
270,270,3016.0,256
271,337,3804.0,256
272,330,3920.0,256
273,517,6244.0,512
274,324,3684.0,256
275,322,3552.0,256
276,476,5680.0,512
277,167,1628.0,128
278,368,4348.0,512
279,817,10072.0,1024
280,789,9688.0,1024
281,665,8124.0,512
282,592,7064.0,512
283,534,6384.0,512
284,476,5572.0,512
285,303,3436.0,256
286,536,6512.0,512
287,303,3344.0,256
288,793,9688.0,1024
289,463,5456.0,512
290,245,2664.0,128
291,732,8964.0,1024
292,304,3428.0,256
293,180,1808.0,128
294,559,6828.0,512
295,266,2996.0,256
296,463,5456.0,512
297,576,6900.0,512
298,502,5932.0,512
299,411,4984.0,256
300,651,7812.0,1024
301,577,6920.0,512
302,486,5728.0,512
303,576,7060.0,512
304,591,7044.0,512
305,871,10660.0,1024
306,238,2520.0,128
307,428,5012.0,512
308,123,1156.0,128
309,536,6516.0,512
310,538,6540.0,512
311,351,4044.0,256
312,545,6488.0,512
313,511,6032.0,512
314,197,1896.0,128
315,408,4664.0,512
316,363,4140.0,512
317,92,696.0,64
318,447,5340.0,512
319,396,4548.0,512
320,625,7584.0,512
321,485,5848.0,512
322,917,11352.0,1024
323,500,5924.0,512
324,337,3768.0,512
325,412,4660.0,256
326,291,3232.0,256
327,347,3964.0,512
328,197,2080.0,256
329,291,3228.0,256
330,183,1832.0,128
331,344,3956.0,256
332,359,4028.0,256
333,419,4876.0,256
334,815,9940.0,1024
335,392,4548.0,512
336,407,4692.0,512
337,882,10888.0,1024
338,406,4776.0,256
339,295,3292.0,256
340,705,8460.0,512
341,430,5020.0,512
342,316,3624.0,256
343,349,4024.0,256
344,521,6204.0,512
345,414,4748.0,512
346,552,6640.0,512
347,386,4460.0,512
348,388,4592.0,512
349,538,6336.0,512
350,518,6144.0,512
351,353,3984.0,512
352,338,3912.0,256
353,458,5312.0,512
354,442,5248.0,256
355,485,5840.0,512
356,448,5268.0,512
357,247,2788.0,256
358,170,1532.0,64
359,288,3276.0,256
360,527,6316.0,512
361,474,5628.0,512
362,745,9016.0,1024
363,547,6500.0,512
364,582,7084.0,512
365,437,5224.0,256
366,776,9444.0,1024
367,342,3952.0,256
368,291,3324.0,256
369,427,5120.0,512
370,350,4012.0,256
371,509,6132.0,512
372,362,4080.0,256
373,514,6044.0,512
374,325,3740.0,512
375,179,1808.0,128
376,558,6796.0,512
377,612,7416.0,512
378,367,4132.0,256
379,801,9848.0,1024
380,645,7668.0,1024
381,850,10416.0,1024
382,351,3940.0,256
383,215,2128.0,128
384,326,3628.0,256
385,396,4604.0,512
386,289,3284.0,256
387,461,5400.0,512
388,463,5452.0,512
389,162,1432.0,64
390,136,1324.0,128
391,214,2228.0,256
392,394,4524.0,512
393,585,7012.0,512
394,502,5920.0,512
395,112,952.0,64
396,802,10136.0,1024
397,159,1548.0,128
398,297,3392.0,256
399,620,7428.0,512
400,254,2652.0,256
401,336,3668.0,256
402,818,10016.0,1024
403,438,5068.0,512
404,456,5320.0,512
405,328,3616.0,256
406,682,8260.0,512
407,726,8796.0,1024
408,194,1896.0,128
409,522,6460.0,512
410,630,7568.0,1024
411,292,3248.0,256
412,634,7612.0,1024
413,874,10652.0,1024
414,226,2312.0,256
415,375,4176.0,512
416,559,6764.0,512
417,475,5552.0,512
418,251,2624.0,256
419,513,6104.0,512
420,320,3644.0,256
421,597,7056.0,1024
422,304,3304.0,256
423,365,4040.0,256
424,130,1232.0,128
425,747,9072.0,1024
426,327,3792.0,256
427,285,3204.0,256
428,369,4248.0,256
429,306,3420.0,256
430,587,7000.0,512
431,283,3088.0,256
432,449,5264.0,512
433,435,4960.0,512
434,339,3704.0,256
435,163,1624.0,128
436,342,3848.0,512
437,557,6684.0,512
438,512,6160.0,512
439,519,6240.0,512
440,463,5440.0,512
441,490,5820.0,512
442,543,6480.0,512
443,378,4516.0,256
444,446,5324.0,512
445,639,7700.0,512
446,388,4524.0,256
447,475,5556.0,512
448,249,2628.0,256
449,762,9264.0,1024
450,463,5520.0,512
451,288,3196.0,256
452,575,6916.0,512
453,431,4944.0,512
454,572,6852.0,512
455,686,8348.0,1024
456,258,2916.0,256
457,307,3380.0,256
458,312,3460.0,256
459,458,5432.0,512
460,469,5532.0,512
461,506,6124.0,512
462,216,2336.0,256
463,330,3788.0,256
464,575,6932.0,512
465,525,6240.0,512
466,424,4872.0,512
467,304,3380.0,256
468,581,6936.0,512
469,511,6112.0,512
470,427,5068.0,512
471,524,6228.0,512
472,607,7376.0,512
473,554,6656.0,512
474,545,6620.0,512
475,664,8100.0,512
476,497,5928.0,512
477,419,4896.0,512
478,951,11656.0,1024
479,380,4484.0,256
480,863,10576.0,1024
481,443,5180.0,512
482,524,6236.0,512
483,562,6736.0,512
484,226,2388.0,256
485,351,4044.0,256
486,337,3984.0,256
487,545,6456.0,512
488,616,7524.0,512
