episode,high_tile,steps
0,64,98
1,256,267
2,128,191
3,256,263
4,256,174
5,64,127
6,128,196
7,64,111
8,128,135
9,256,200
10,256,323
11,256,249
12,256,360
13,256,285
14,256,251
15,256,347
16,256,236
17,256,257
18,128,150
19,128,150
20,64,127
21,256,230
22,256,265
23,128,150
24,512,361
25,256,246
26,256,255
27,256,267
28,128,164
29,256,344
30,512,399
31,128,159
32,256,240
33,256,227
34,256,248
35,256,220
36,128,228
37,256,256
38,128,231
39,128,192
40,256,230
41,128,154
42,128,230
43,256,243
44,256,188
45,256,307
46,128,157
47,512,391
48,256,212
49,256,216
50,128,208
51,128,227
52,64,186
53,256,288
54,256,281
55,64,110
56,256,365
57,128,244
58,256,226
59,128,187
60,256,307
61,256,215
62,256,274
63,512,375
64,512,328
65,256,261
66,256,300
67,256,339
68,64,95
69,256,261
70,512,382
71,256,271
72,256,360
73,256,236
74,256,266
75,256,281
76,256,299
77,32,71
78,256,225
79,512,343
80,128,219
81,128,158
82,64,165
83,256,281
84,128,206
85,256,270
86,512,468
87,128,142
88,256,302
89,256,312
90,256,265
91,128,152
92,256,296
93,256,261
94,128,156
95,512,412
96,256,347
97,256,274
98,512,401
99,128,214
100,128,137
101,256,332
102,128,154
103,256,249
104,256,283
105,512,461
106,256,301
107,256,322
108,128,165
109,512,349
110,256,270
111,256,227
112,256,349
113,256,305
114,512,414
115,256,395
116,512,457
117,512,426
118,256,262
119,256,305
120,64,85
121,128,202
122,128,206
123,256,409
124,256,281
125,64,136
126,128,122
127,256,251
128,512,506
129,256,313
130,256,288
131,128,145
132,256,416
133,256,271
134,256,363
135,512,532
136,512,412
137,512,474
138,256,242
139,256,337
140,256,416
141,256,347
142,256,269
143,512,301
144,128,127
145,128,203
146,256,318
147,256,304
148,256,337
149,256,232
150,256,358
151,512,525
152,256,320
153,256,262
154,512,479
155,512,394
156,512,450
157,256,276
158,256,316
159,512,338
160,256,342
161,256,288
162,256,365
163,256,319
164,512,548
165,512,394
166,512,494
167,256,298
168,256,186
169,256,328
170,256,279
171,512,595
172,256,301
173,512,505
174,512,408
175,512,460
176,512,468
177,512,362
178,512,471
179,256,280
180,512,505
181,512,567
182,1024,728
183,256,320
184,256,204
185,256,322
186,128,183
187,256,255
188,512,567
189,512,455
190,512,408
191,512,455
192,512,506
193,512,372
194,256,329
195,128,201
196,128,229
197,256,303
198,512,459
199,256,272
200,256,221
201,256,359
202,512,418
203,512,458
204,256,309
205,256,215
206,512,396
207,128,199
208,256,295
209,256,217
210,256,308
211,256,310
212,512,450
213,512,440
214,256,282
215,128,187
216,512,369
217,256,311
218,512,464
219,512,386
220,512,420
221,512,382
222,512,483
223,512,384
224,512,415
225,512,550
226,256,361
227,512,489
228,512,376
229,128,236
230,128,174
231,256,201
232,512,502
233,512,374
234,512,569
235,64,108
236,256,279
237,512,384
238,64,129
239,512,551
240,512,526
241,1024,696
242,256,293
243,256,295
244,256,402
245,512,413
246,256,218
247,512,383
248,512,481
249,256,258
250,512,430
251,256,272
252,512,390
253,512,611
254,128,226
255,256,294
256,256,218
257,256,305
258,256,307
259,512,433
260,256,266
261,128,279
262,256,351
263,256,270
264,256,265
265,512,533
266,64,138
267,512,478
268,512,578
269,256,315
270,512,609
271,1024,721
272,512,653
273,512,359
274,512,531
275,256,308
276,256,217
277,256,321
278,512,466
279,512,411
280,512,505
281,256,349
282,256,285
283,512,397
284,256,311
285,256,319
286,512,511
287,512,431
288,256,264
289,512,523
290,128,159
291,256,441
292,512,434
293,256,236
294,512,476
